state,county,station,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,plant_acres,harvest_acres,yield_acres,bales
MS,Scott,USH00223107,1990,2999,2881,1371,1313,1126,2286,890,683,553,264,981,1748,2800,2700,746.666666667,4200
MS,Scott,USH00223107,1989,1559,672,1600,670,1743,1996,2123,112,1783,442,2132,1303,2700,2600,701.538461538,3800
MS,Scott,USH00223107,1988,538,1144,1394,1565,246,61,1024,1938,1138,1761,2273,770,3500,3200,600,4000
MS,Scott,USH00223107,1987,1426,3186,1388,208,1529,1150,353,1169,619,33,922,961,3200,3100,650.322580645,4200
MS,Scott,USH00223107,1986,202,645,1267,503,2708,1337,1576,605,1183,1434,2867,913,3200,3000,638.4,3990
MS,Scott,USH00223107,1985,922,2130,787,945,267,1142,711,912,1272,2591,317,1004,3700,3600,760,5700
MS,Scott,USH00223107,1984,905,1449,1077,1241,1344,123,1809,1671,190,2157,1880,513,4100,4050,782.222222222,6600
MS,Scott,USH00223107,1983,1836,2093,1695,2518,2899,1244,81,720,558,587,1715,2152,3100,3090,636.893203883,4100
MS,Scott,USH00223107,1982,1178,1709,1077,1432,267,1301,2204,1425,61,1047,1428,3105,3700,3650,867.945205479,6600
MS,Scott,USH00223107,1981,451,960,1967,1240,1248,1034,989,864,1018,1400,617,1699,5150,5000,480,5000
MS,Scott,USH00223107,1980,1267,744,3782,2300,1118,132,1103,619,562,1250,1953,281,3000,2860,486.713286713,2900
MS,Scott,USH00223107,1979,3378,1730,1608,2582,1804,1074,3195,1478,2225,386,1605,1377,3600,3550,523.267605634,3870
MS,Scott,USH00223107,1978,1379,429,828,970,1877,1212,1102,628,156,198,933,2219,3980,3960,460.606060606,3800
MS,Scott,USH00223107,1977,1856,940,2571,1910,653,551,2815,969,2036,1325,2431,744,5100,4900,331.102040816,3380
MS,Scott,USH00223107,1976,728,381,3724,117,1713,830,1299,819,883,752,951,1080,5200,4900,367.346938776,3750
MS,Scott,USH00223107,1975,1586,1688,1201,1568,1926,794,1094,1793,1225,1946,585,977,4400,4350,300.137931034,2720
MS,Scott,USH00223107,1974,2934,1707,877,2789,1061,912,877,1891,1624,511,1664,2671,5500,5200,420.646153846,4557
MS,Scott,USH00223107,1973,1016,1498,2651,2376,1740,403,1333,1660,1449,905,1678,1844,3800,3500,466.285714286,3400
