state,county,station_x,year,jan_x,feb_x,mar_x,apr_x,may_x,jun_x,jul_x,aug_x,sep_x,oct_x,nov_x,dec_x,plant_acres,harvest_acres,yield_acres,bales,station_y,jan_y,feb_y,mar_y,apr_y,may_y,jun_y,jul_y,aug_y,sep_y,oct_y,nov_y,dec_y,total_percent_lost
TX,Navarro,USH00412019,2007,1540,370,2365,445,2160,1924,1271,216,762,239,548,597,10000,10000,672.0,14000,USC00412019,633,964,1813,1654,2285,2620,2710,2910,2621,2114,1678,1087,11.2
TX,Wharton,USH00412266,2007,2123,136,866,1018,2224,1362,3769,1301,882,539,785,312,55400,55000,620.072727273,71050,USC00412266,967,1245,1885,1830,2397,2651,2661,2843,2646,2176,1765,1435,11.2
TX,Shackelford,USH00410120,2007,556,107,1192,950,1461,2522,1328,877,732,-9999,-9999,-9999,1400,1400,788.5714285710001,2300,USC00410120,427,821,1639,1559,2148,2462,2559,2761,2490,2029,1327,750,11.2
TX,Limestone,USH00415869,2007,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,145,554,102,624,1500,1500,640.0,2000,USC00415869,651,953,1819,1684,2267,2637,2652,2951,2652,2107,1582,1010,11.2
TX,Crosby,USH00412121,2007,350,82,1520,309,862,1092,279,1277,420,83,0,372,200200,191500,857.2323759789999,342000,USC00412121,231,606,1399,1286,1895,2323,2461,2537,2284,1871,1099,558,11.2
TX,Runnels,USH00410493,2007,422,112,1410,478,2364,2117,410,870,91,261,285,69,50700,50500,722.3762376239999,76000,USC00410493,507,941,1660,1640,2150,2552,2594,2784,2526,2099,1419,909,11.2
TX,Caldwell,USH00415429,2007,1585,203,1742,801,663,1527,2840,639,325,142,398,183,5000,5000,672.0,7000,USC00415429,837,1231,1828,1747,2348,2674,2673,2808,2595,2144,1648,1230,11.2
TX,Upton,USH00415707,2006,3,21,104,0,104,145,48,-9999,88,328,0,300,9800,5700,715.789473684,8500,USC00415707,1095,1083,1724,2280,2710,2913,3024,2862,2467,2055,1487,802,11.0
TX,Lamar,USH00416794,2006,660,902,1814,528,583,223,30,621,609,1457,783,1422,3900,3900,258.461538462,2100,USC00416794,1143,821,1570,2182,2386,2769,3089,3168,2406,1901,1405,942,11.0
TX,Bexar,USH00417945,2006,89,158,346,355,965,414,357,8,1045,874,191,619,2500,2400,1200.0,6000,USC00417947,1425,1260,1982,2452,2555,2794,2915,3064,2571,2185,1720,1197,11.0
TX,Hale,USH00417079,2006,0,83,440,231,879,224,51,595,1089,656,57,556,282400,262100,884.547882488,483000,USC00410012,724,594,1097,1733,2100,2518,2677,2551,1905,1483,1000,474,11.0
TX,Sherman,USH00418692,2006,29,0,222,79,314,351,514,1311,915,368,5,782,23700,23300,1264.89270386,61400,USC00418692,518,335,819,1519,1992,2521,2653,2382,1698,1281,763,216,11.0
TX,Bee,USH00410639,2006,122,107,79,0,1044,846,1162,217,2257,429,10,150,32900,3600,973.333333333,7300,USC00410639,1608,1427,2115,2451,2767,2793,2810,2958,2598,2319,1893,1380,11.0
TX,Scurry,USH00418433,2006,125,84,465,195,1351,336,155,764,895,690,5,638,56700,41100,237.08029197099998,20300,USC00418433,1004,813,1440,2043,2373,2718,2889,2819,2133,1786,1315,687,11.0
TX,Pecos,USH00413280,2006,0,5,246,0,26,41,91,-9999,-9999,470,0,-9999,4900,4900,930.6122448980001,9500,USC00410482,1155,1144,1770,2280,2673,2873,3025,2905,2455,2034,1545,869,11.0
TX,Bailey,USH00416135,2006,0,13,246,226,75,482,422,1092,1032,553,38,373,89400,40400,771.089108911,64900,USC00416135,549,516,944,1674,2038,2511,2614,2430,1915,1462,898,400,11.0
TX,Haskell,USH00413992,2006,114,74,417,364,1505,28,287,428,1051,1031,43,460,95200,37600,372.76595744699995,29200,USC00413992,1036,763,1463,2040,2442,2747,3022,2978,2167,1821,1319,682,11.0
TX,Starr,USH00417622,2006,3,44,125,56,308,600,1031,0,1465,1087,0,1098,24600,0,0.0,0,USC00413060,1771,1715,2354,2708,2764,2895,2950,3074,2833,2468,2123,1490,11.0
TX,Gaines,USH00418201,2006,0,66,305,106,31,267,757,715,849,1024,20,282,288000,204400,812.994129159,346200,USC00418201,873,836,1319,1886,2378,2688,2729,2602,2061,1682,1170,553,11.0
TX,Navarro,USH00412019,2006,935,635,780,1085,269,534,226,63,647,914,350,881,18300,18100,376.574585635,14200,USC00412019,1257,960,1654,2182,2424,2713,2970,3146,2483,1944,1489,1045,11.0
TX,Wharton,USH00412266,2006,436,310,427,56,678,1453,2979,538,1445,1712,227,1094,73600,73200,944.918032787,144100,USC00412266,1431,1274,1945,2303,2456,2594,2724,2810,2575,2195,1745,1298,11.0
TX,Shackelford,USH00410120,2006,123,447,559,940,689,551,132,270,740,454,39,287,2000,800,360.0,600,USC00410120,1140,884,1539,2076,2392,2619,2903,3029,2226,1888,1404,819,11.0
TX,Hardeman,USH00417336,2006,0,8,596,496,488,0,340,1148,967,1958,198,490,7300,4800,720.0,7200,USC00411995,1036,672,1496,2052,2440,2814,3113,3040,2192,1792,1260,714,11.0
TX,Crosby,USH00412121,2006,0,33,511,194,867,373,95,757,1177,894,66,514,214300,181000,569.370165746,214700,USC00412121,903,728,1290,1941,2259,2613,2776,2664,2030,1654,1189,517,11.0
TX,Runnels,USH00410493,2006,81,206,516,328,201,978,91,682,485,536,18,222,68000,35200,226.363636364,16600,USC00410493,1162,985,1671,2153,2495,2782,2940,3008,2359,1982,1477,889,11.0
TX,Reeves,USH00410498,2006,0,0,0,0,-9999,124,323,-9999,775,536,0,-9999,1000,1000,768.0,1600,USC00410498,1146,1047,1465,2048,2481,2676,2731,2637,2151,1853,1319,761,11.0
TX,Roberts,USH00415875,2006,61,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1000,800,960.0,1600,USC00415875,659,331,1019,1707,2109,2524,2790,2608,1917,1460,884,329,11.0
TX,Caldwell,USH00415429,2006,68,193,479,351,889,345,763,132,1181,833,33,1075,6500,6300,464.761904762,6100,USC00415429,1363,1160,1911,2393,2535,2754,2918,3039,2533,2108,1594,1176,11.0
TX,Upton,USH00415707,2005,76,449,97,8,414,1656,653,689,0,1222,0,11,10400,10400,752.307692308,16300,USC00415707,1067,1019,1457,1933,2394,2844,2889,2772,2795,1903,1365,834,10.51
TX,Lamar,USH00416794,2005,1508,890,547,627,461,112,1570,554,617,38,294,41,1400,1300,406.153846154,1100,USC00416794,866,1074,1265,1789,2235,2854,2865,3022,2807,1927,1560,756,10.51
TX,Bexar,USH00417945,2005,553,615,508,3,754,206,534,310,353,289,51,26,2500,2500,1190.4,6200,USC00417947,1385,1398,1681,2001,2382,2769,2934,2927,2887,2141,1819,1136,10.51
TX,Hale,USH00417079,2005,216,195,418,170,841,348,986,1027,165,344,0,10,273000,262100,939.488744754,513000,USC00410012,578,682,904,1391,1852,2430,2472,2426,2310,1593,929,414,10.51
TX,Sherman,USH00418692,2005,303,204,412,221,620,1,722,178,531,1,155,1,12600,12200,999.344262295,25400,USC00418692,298,457,640,1192,1703,2272,2565,2407,2196,1392,858,198,10.51
TX,Bee,USH00410639,2005,865,889,1920,246,236,877,831,472,43,244,79,23,23700,23500,657.70212766,32200,USC00410639,1490,1542,1788,2104,2422,2744,2889,2934,2899,2277,1946,1287,10.51
TX,Scurry,USH00418433,2005,287,294,358,30,539,845,677,2807,168,771,0,9,55200,54800,606.131386861,69200,USC00418433,806,870,1196,1717,2092,2640,2761,2570,2509,1796,1261,602,10.51
TX,Pecos,USH00413280,2005,78,556,1,0,8,201,316,994,470,1,572,521,6600,6600,981.8181818180001,13500,USC00410482,1159,1076,1483,1956,2380,2872,2901,2762,2827,1989,1425,931,10.51
TX,Bailey,USH00416135,2005,261,102,213,139,461,381,975,2001,56,224,0,0,86100,76400,703.664921466,112000,USC00416135,541,651,818,1329,1733,2402,2437,2317,2254,1469,901,349,10.51
TX,Haskell,USH00413992,2005,199,366,487,23,981,914,882,2990,259,435,0,24,95600,93900,531.629392971,104000,USC00413992,736,848,1197,1729,2109,2647,2793,2694,2570,1803,1291,636,10.51
TX,Starr,USH00417622,2005,193,1050,183,3,887,204,1229,0,330,241,79,87,2700,1000,624.0,1300,USC00413060,1698,1691,2129,2330,2639,3050,3101,3123,3059,2523,2134,1523,10.51
TX,Gaines,USH00418201,2005,305,438,223,59,947,79,544,307,66,856,0,35,264000,257800,858.3397982930002,461000,USC00418201,814,810,1133,1627,2040,2620,2679,2541,2457,1672,1137,606,10.51
TX,Navarro,USH00412019,2005,665,879,599,315,745,183,996,737,544,5,467,133,14500,14500,628.9655172409999,19000,USC00412019,1079,1133,1362,1803,2259,2784,2842,2909,2749,1965,1601,825,10.51
TX,Wharton,USH00412266,2005,478,1634,839,342,1293,300,1263,252,358,544,998,330,79800,77700,625.173745174,101200,USC00412266,1380,1465,1680,2011,2339,2726,2841,2909,2864,2198,1786,1142,10.51
